year,query,total_citations,avg_h_index,usage,captures,mentions,social_media,impact,first_year_citations,second_year_citations,max_h_index,flesch_reading_ease,flesch_kincaid_grade,gunning_fog_index,smog_index,automated_readability_index,coleman_liau_index,cohesion,syntax,vocabulary,phraseology,grammar,conventions
2017,cryptography and security,347,45,0,443,0,0,high,1,24,57,41.19,12.9,11.74,14.3,15.3,14.33,7.0,6.8333335,7.625,7.5416665,7.1666665,6.5833335
2017,cryptography and security,347,28,0,599,1,0,high,3,25,40,47.49,10.4,8.21,13.0,11.7,12.87,7.0425534,6.8510637,7.7021275,7.5957446,7.1595745,6.574468
2017,cryptography and security,345,14,0,504,0,0,high,0,17,18,44.85,11.5,10.7,13.0,12.9,13.11,7.318182,7.2272725,7.9545455,7.818182,7.4545455,6.7727275
2018,cryptography and security,342,60,0,987,3,0,high,25,71,79,24.37,15.2,13.45,16.2,16.8,16.19,7.7,7.5,8.2,8.0,7.7,7.1
2017,cryptography and security,305,8,0,125,0,0,high,0,10,8,60.75,9.5,9.28,12.4,11.2,10.44,6.0,5.9333334,6.7833333,6.633333,6.2,5.55
2017,cryptography and security,305,15,0,505,2,1,high,0,16,20,20.21,16.8,13.15,17.2,18.4,16.08,6.983333,6.75,7.733333,7.6,7.0833335,6.3333335
2017,machine learning,1408,19,0,885,0,0,high,3,120,26,43.53,12.0,10.96,13.4,12.9,12.47,6.678571,6.571429,7.428571,7.25,6.928571,6.25
2018,cryptography and security,308,108,0,335,0,0,high,3,38,133,37.4,12.2,10.06,13.9,13.0,13.92,6.9210525,6.631579,7.5263157,7.394737,6.894737,6.3421054
2017,cryptography and security,315,13,0,219,0,0,high,8,53,13,58.01,10.5,10.48,12.5,12.3,10.62,7.064516,7.0,7.822581,7.806452,7.370968,6.66129
2017,cryptography and security,303,34,0,268,0,0,high,1,12,57,59.84,9.8,9.77,12.7,11.3,9.86,6.0,5.918605,6.8139534,6.6860466,6.2093024,5.627907
2021,cryptography and security,302,15,41,763,2,0,high,11,68,23,35.17,13.1,10.6,14.5,15.9,16.48,7.326923,7.2115383,8.019231,7.9038463,7.4423075,6.826923
2022,"distributed, parallel and cluster computing",1,22,0,3,1,0,low,0,1,40,47.28,10.5,9.53,13.1,12.0,13.51,7.2777777,7.0555553,7.888889,7.7222223,7.3333335,6.8333335
2019,cryptography and security,307,10,0,692,1,13,high,14,27,10,31.41,14.5,12.96,15.9,17.1,16.08,7.892857,7.714286,8.5,8.428572,7.964286,7.5
2022,computational complexity,2,18,0,0,0,0,low,0,2,18,59.23,10.1,9.77,13.1,11.5,9.92,5.6,5.5,6.4,6.125,5.65,5.075
2019,cryptography and security,300,17,0,572,1,0,high,20,47,30,33.95,13.6,10.36,15.4,15.3,14.74,6.15,5.95,6.866667,6.633333,6.2833333,5.75
2018,cryptography and security,300,21,0,61,0,0,high,5,22,31,52.29,10.7,9.12,13.1,11.2,10.33,6.675,6.5,7.3,7.15,6.95,6.4
2022,information retrieval,1,18,0,23,0,0,low,0,0,26,23.77,15.4,12.55,16.9,17.4,16.53,7.1923075,7.076923,7.923077,7.8846154,7.3846154,6.8846154
2019,cryptography and security,294,17,0,739,0,144,high,0,46,49,32.73,14.0,11.16,15.7,16.2,15.49,7.457143,7.142857,8.028571,7.9714284,7.357143,6.857143
2017,cryptography and security,294,29,0,647,0,0,high,5,25,48,33.34,13.8,10.75,16.0,15.7,14.97,7.6666665,7.5,8.316667,8.166667,7.733333,7.233333
2022,"distributed, parallel and cluster computing",0,12,0,5,0,0,low,0,0,16,39.16,13.6,11.81,15.1,15.0,12.71,6.3333335,6.0333333,6.9666667,6.733333,6.133333,5.9
2017,cryptography and security,293,29,0,344,0,0,high,4,8,41,41.19,12.9,11.63,14.9,14.9,13.92,7.6,7.5,8.36,8.16,7.76,7.22
2019,cryptography and security,289,51,0,563,1,40,high,1,37,74,50.67,11.3,10.23,14.0,13.0,12.01,7.2166667,7.0333333,7.7,7.6833334,7.35,6.8166666
2018,cryptography and security,287,76,0,208,2,0,high,5,23,76,58.21,10.5,10.32,11.8,11.6,9.46,6.0,6.0555553,6.7777777,6.7777777,6.361111,5.611111
2017,cryptography and security,287,29,0,322,0,0,high,0,23,35,53.71,10.1,9.45,12.2,11.5,11.77,6.4444447,6.3055553,7.138889,7.0555553,6.5833335,5.75
2020,cryptography and security,286,22,0,1050,0,0,high,17,42,31,30.2,15.0,12.11,16.6,18.1,16.42,7.733333,7.5333333,8.4,8.233334,7.8166666,7.4333334
2018,cryptography and security,285,31,0,291,0,0,high,8,51,41,44.44,11.6,9.85,13.7,12.0,12.18,7.35,7.15,7.75,7.7,7.15,7.0
2022,"distributed, parallel and cluster computing",2,22,0,2,0,0,low,0,1,32,52.7,10.5,9.78,12.7,12.3,12.13,5.868421,5.763158,6.6842103,6.4210525,6.1578946,5.3421054
2017,cryptography and security,205,26,0,166,0,0,high,1,10,29,52.29,10.7,9.51,13.3,11.7,11.08,6.3461537,6.2115383,7.076923,6.923077,6.4615383,5.8076925
2022,cryptography and security,1,5,0,19,0,0,low,0,1,8,30.97,12.6,8.99,14.2,14.5,16.52,6.7916665,6.4583335,7.5,7.0833335,6.5833335,6.2083335
2022,cryptography and security,2,9,0,11,0,0,low,1,0,14,53.88,8.0,6.71,10.6,9.1,11.45,4.325,4.3,5.2,4.95,4.9,4.3
2022,cryptography and security,4,16,0,19,0,0,low,0,2,16,42.82,12.2,11.25,14.2,15.7,15.72,6.78125,6.625,7.5,7.25,6.78125,6.25
2022,cryptography and security,20,27,0,45,0,0,low,1,14,48,37.5,12.2,9.28,14.1,13.9,14.79,7.233333,7.0,7.9166665,7.8333335,7.35,6.616667
2022,cryptography and security,4,21,0,6,1,0,low,0,3,25,41.66,10.6,10.59,13.1,13.5,14.83,4.75,5.0,5.75,5.75,5.5,4.75
2022,"distributed, parallel and cluster computing",9,6,0,46,1,0,low,0,5,6,37.1,12.4,9.4,14.9,14.7,15.72,6.5833335,6.3472223,7.263889,7.0694447,6.6527777,6.138889
2022,cryptography and security,5,19,0,10,0,0,low,1,3,34,50.26,11.4,10.36,13.0,13.0,11.6,6.5689654,6.4310346,7.2413793,7.1551723,6.793103,6.0
2022,cryptography and security,2,8,0,21,0,0,low,0,1,9,34.15,13.5,10.68,14.7,15.1,14.74,6.016667,5.7166667,6.8333335,6.5833335,5.9666667,5.0666666
2022,cryptography and security,11,8,0,2,0,0,low,1,10,11,52.29,10.7,10.18,13.0,12.2,11.95,7.138889,6.9722223,7.75,7.6666665,7.3055553,6.6944447
2022,cryptography and security,13,28,0,16,0,0,low,1,6,39,24.68,15.1,10.96,16.3,17.2,16.59,6.986842,6.8026314,7.736842,7.5657897,7.1842103,6.513158
2017,graphics,1420,40,0,244,0,0,high,0,49,79,43.93,11.8,11.03,13.6,13.6,13.4,6.590909,6.4545455,7.409091,7.3636365,6.7727275,6.0454545
2022,cryptography and security,1,3,0,0,0,0,low,0,0,3,13.68,17.2,14.28,18.8,19.9,18.8,6.642857,6.5,7.571429,7.214286,6.857143,6.357143
2022,cryptography and security,2,8,0,8,0,0,low,0,2,10,41.7,12.7,11.13,14.6,13.9,12.71,6.4772725,6.3636365,7.340909,7.1363635,6.7045455,6.1136365
2022,cryptography and security,9,31,0,11,0,0,low,1,3,41,38.32,11.9,13.5,14.2,14.2,15.83,6.0,6.0,7.0,6.75,6.75,6.0
2022,cryptography and security,8,6,0,25,0,0,low,0,6,10,35.57,12.9,10.64,15.2,15.2,15.66,7.4761906,7.214286,8.142858,7.904762,7.4761906,6.9761906
2022,cryptography and security,1,20,0,13,0,0,low,0,1,50,34.05,13.5,12.11,15.2,15.2,15.08,7.7727275,7.5454545,8.409091,8.227273,7.818182,7.2272725
2022,cryptography and security,0,30,0,2,0,0,low,0,0,30,50.77,11.2,11.45,13.8,12.7,11.72,6.0454545,6.0,6.7272725,6.590909,6.181818,5.5
2022,cryptography and security,47,56,0,11,0,0,low,4,31,87,43.22,12.1,9.94,13.9,13.5,13.05,6.34,6.14,7.0,6.72,6.36,5.84
2022,cryptography and security,3,4,0,5,0,0,low,0,2,5,53.51,10.2,8.98,13.3,11.4,11.31,7.0,6.8636365,7.5227275,7.5,7.159091,6.4772725
2022,cryptography and security,2,17,0,5,0,0,low,0,1,26,61.36,9.2,8.79,12.0,9.7,8.76,5.62069,5.551724,6.327586,6.224138,5.862069,5.137931
2022,cryptography and security,3,5,0,6,0,0,low,0,3,6,69.82,8.1,8.39,10.8,8.8,7.95,5.868421,5.8289475,6.5657897,6.486842,6.118421,5.4473686
2022,cryptography and security,1,19,0,2,0,0,low,0,1,19,43.83,11.8,10.24,14.6,13.2,13.23,7.45,7.225,8.075,7.975,7.5,6.95
2019,cryptography and security,225,14,0,270,0,0,high,8,29,36,45.05,11.4,9.59,13.7,13.7,13.51,6.26,6.04,7.0,6.72,6.36,5.82
2022,cryptography and security,0,27,0,1,0,0,low,0,0,51,53.51,10.2,9.49,12.8,11.4,11.48,7.266667,7.2,7.8333335,7.766667,7.4333334,7.0
2022,cryptography and security,3,25,0,3,0,0,low,0,2,45,52.49,10.6,9.24,12.8,11.2,10.79,6.25,6.125,6.892857,6.785714,6.410714,5.696429
2022,cryptography and security,4,23,0,4,0,0,low,0,3,44,51.89,10.8,9.47,13.1,11.2,10.39,6.0740743,6.0,6.814815,6.685185,6.2222223,5.537037
2022,cryptography and security,2,8,0,1,0,0,low,0,1,8,36.39,12.6,9.43,14.3,13.1,13.4,7.2727275,7.159091,7.8636365,7.75,7.5227275,6.8863635
2022,cryptography and security,0,3,0,2,0,0,low,0,0,3,55.88,11.4,11.25,13.5,12.0,8.71,5.673077,5.5576925,6.576923,6.423077,5.8846154,5.2115383
2022,cryptography and security,0,23,0,3,0,0,low,0,0,45,60.85,9.4,9.46,12.9,10.6,9.81,6.266667,6.15,6.95,6.8,6.366667,5.7
2022,cryptography and security,2,11,0,2,0,59,low,0,1,19,61.16,9.3,8.52,12.2,8.4,6.96,5.612903,5.548387,6.33871,6.193548,5.903226,5.16129
2022,cryptography and security,2,5,0,60,0,0,low,0,1,10,25.39,14.8,11.13,16.1,16.9,16.71,7.0,6.8448277,7.8448277,7.6551723,7.2586207,6.551724
2022,cryptography and security,2,15,0,6,0,0,low,0,1,25,55.64,9.4,8.68,11.9,11.3,12.35,6.7291665,6.6041665,7.4791665,7.3541665,6.9791665,6.25
2022,cryptography and security,4,16,0,3,0,0,low,0,1,26,53.31,10.3,8.81,12.7,10.8,10.38,6.32,6.16,6.98,6.86,6.48,5.92
2021,graphics,870,39,6,400,0,0,high,24,217,67,49.92,9.5,8.07,11.9,11.8,13.27,5.409091,5.340909,6.2727275,6.0,5.7045455,5.090909
2022,"distributed, parallel and cluster computing",9,16,0,29,0,0,low,0,5,16,35.47,13.0,10.15,15.4,15.0,15.49,6.9791665,6.6875,7.6041665,7.4375,6.9583335,6.4583335
2022,cryptography and security,0,14,0,5,0,0,low,0,0,14,48.7,10.0,10.4,12.4,13.4,14.96,3.8333333,3.6666667,4.6666665,4.3333335,4.1666665,3.3333333
2022,cryptography and security,3,4,0,2,0,0,low,0,2,4,47.72,12.4,11.53,14.8,13.3,10.74,5.6904764,5.6666665,6.5238094,6.3809524,5.8809524,5.2619047
2022,cryptography and security,3,13,0,7,0,0,low,0,2,20,39.63,11.4,8.2,13.6,12.6,14.09,6.04,5.92,6.9,6.66,6.22,5.48
2022,cryptography and security,2,37,0,5,0,0,low,0,1,60,46.88,10.7,8.52,12.9,11.9,12.82,6.625,6.446429,7.285714,7.142857,6.803571,6.160714
2022,cryptography and security,2,6,0,10,0,0,low,0,2,7,44.95,11.4,9.9,13.1,13.1,13.28,6.340909,6.181818,7.159091,6.8863635,6.4545455,5.7954545
2022,cryptography and security,0,4,0,4,0,0,low,0,0,5,42.72,12.3,9.91,13.3,14.6,14.27,6.9736843,6.894737,7.605263,7.605263,7.236842,6.5526314
2022,cryptography and security,0,15,0,12,0,0,low,0,0,15,39.03,11.6,8.94,13.0,13.7,14.9,6.090909,6.0,6.8333335,6.787879,6.4545455,5.681818
2022,cryptography and security,0,22,0,1,0,0,low,0,0,22,44.14,11.7,10.7,14.0,13.4,13.05,6.1666665,5.866667,6.9,6.7,6.2,5.6666665
2019,information retrieval,1177,62,0,1105,0,0,high,8,131,132,47.79,10.3,8.01,12.0,11.2,12.35,6.1538463,6.0384617,6.8846154,6.6923075,6.1923075,5.6923075
2022,cryptography and security,12,20,0,15,0,47,low,0,9,31,44.75,11.5,9.96,13.8,13.1,12.99,6.38,6.22,7.22,6.94,6.5,5.86
2022,cryptography and security,4,12,0,7,0,0,low,0,0,18,46.78,10.7,8.56,12.9,11.9,12.82,5.3589745,5.269231,6.179487,5.9358974,5.551282,4.8076925
2022,cryptography and security,7,8,0,3,0,0,low,0,5,15,52.29,10.7,9.66,13.0,12.7,12.53,6.904762,6.785714,7.5238094,7.452381,7.047619,6.452381
2022,internet of things and embedded systems,11,7,0,30,0,0,low,0,5,8,51.68,10.9,10.53,13.6,13.1,12.71,7.0625,6.84375,7.6875,7.53125,7.15625,6.59375
2022,computational complexity,5,2,0,2,0,0,low,0,4,2,55.64,9.4,8.12,12.8,11.1,11.77,5.8,5.714286,6.571429,6.4428573,6.0142856,5.3285713
2022,cryptography and security,3,2,0,8,0,0,low,0,3,2,51.68,10.9,9.87,12.8,12.0,11.26,6.375,6.125,7.0,6.75,6.375,6.0625
2022,cryptography and security,0,2,0,1,0,0,low,0,0,2,44.44,11.6,10.89,13.9,13.7,14.21,6.9166665,6.8333335,7.5,7.4166665,7.0833335,6.4583335
2019,information retrieval,1098,46,0,2841,2,463,high,28,113,47,35.37,13.0,10.61,14.6,14.7,14.45,6.2608695,6.173913,7.152174,6.9565215,6.521739,6.021739
2022,internet of things and embedded systems,21,14,0,89,1,0,low,0,11,22,39.43,11.5,8.87,13.7,13.3,15.01,6.75,6.4772725,7.340909,7.25,6.840909,6.318182
2022,cryptography and security,6,4,0,12,0,0,low,0,6,4,45.05,11.4,9.97,12.9,14.3,14.38,5.4666667,5.4333334,6.266667,6.1,5.8333335,5.366667
2022,cryptography and security,6,36,0,7,0,0,low,0,4,48,32.02,14.3,12.02,15.8,15.9,14.45,7.4166665,7.375,8.125,8.083333,7.7083335,7.0833335
2018,graphics,1246,87,0,985,0,0,high,19,133,133,57.47,8.7,8.07,11.7,9.6,11.07,6.105263,5.9736843,6.8421054,6.631579,6.2894735,5.763158
2022,cryptography and security,1,19,0,18,0,0,low,0,1,31,18.99,17.2,13.97,17.3,19.3,16.13,6.0,5.714286,6.857143,6.428571,5.785714,5.357143
2022,cryptography and security,3,19,0,11,0,0,low,0,3,29,39.37,13.6,11.36,15.5,15.6,13.87,7.3139534,7.0930233,7.9302325,7.8255816,7.4418607,6.8488374
2022,cryptography and security,25,8,0,5,1,0,low,0,23,9,45.35,11.3,9.31,13.7,12.3,12.12,6.4827585,6.275862,7.275862,7.034483,6.6034484,6.1034484
2018,information retrieval,1378,66,0,1072,0,0,high,3,80,148,45.56,11.2,9.72,13.4,12.6,12.87,7.230769,7.076923,7.8846154,7.6923075,7.1923075,6.6923075
2018,information retrieval,540,51,0,456,0,0,high,4,38,81,47.59,10.4,8.76,13.0,12.5,13.27,5.3333335,5.3,6.133333,5.9,5.4666667,4.9666667
2022,internet of things and embedded systems,9,16,0,18,0,0,low,0,4,26,34.46,13.4,11.05,15.5,15.3,15.2,6.8461537,6.6923075,7.6153846,7.4615383,7.0,6.423077
2022,cryptography and security,2,9,0,10,0,0,low,0,1,16,53.0,10.4,8.5,13.5,11.4,11.49,6.1190476,5.9761906,6.8333335,6.6666665,6.3809524,5.785714
2017,data structures and algorithms,11724,38,0,5940,2,0,high,45,450,51,47.69,10.4,9.28,12.5,11.4,12.46,6.0882354,6.029412,6.882353,6.7058825,6.3235292,5.6764708
2017,data structures and algorithms,4943,27,0,6959,13,64,high,1,18,36,27.62,13.9,10.58,15.1,15.8,16.48,5.857143,5.642857,6.714286,6.4761906,6.047619,5.452381
2018,information retrieval,1268,30,0,754,0,0,high,7,144,45,49.52,9.7,7.94,12.1,10.6,11.94,5.8235292,5.647059,6.5588236,6.2352943,5.9411764,5.5
2019,software engineering,1063,86,0,262,0,0,high,47,138,138,50.36,11.4,10.2,14.1,12.4,10.62,6.2115383,6.0,6.826923,6.730769,6.25,5.576923
2019,information retrieval,1093,77,0,434,1,19,high,8,180,116,20.11,16.8,13.27,17.4,18.9,16.6,7.22,7.06,7.92,7.86,7.32,6.64
2019,software engineering,799,57,0,2244,2,16,high,39,111,66,38.11,12.0,8.28,14.0,13.4,13.86,5.0460525,4.861842,5.8157897,5.611842,5.375,4.8421054
2022,cryptography and security,6,15,0,12,1,16,low,0,5,29,44.64,11.5,9.85,13.9,13.2,13.34,6.340909,6.25,7.090909,6.8636365,6.5,5.931818
2022,cryptography and security,2,13,0,6,1,0,low,0,2,15,40.58,13.1,11.45,15.1,14.5,12.65,6.861111,6.6666665,7.5833335,7.361111,6.9444447,6.361111
2022,cryptography and security,5,30,0,17,1,0,low,0,2,43,32.94,14.0,12.1,15.7,16.9,16.3,7.263158,7.0,7.9210525,7.763158,7.3157897,6.736842
2019,graphics,1048,20,0,593,0,0,high,4,73,33,48.4,10.1,8.58,12.3,11.5,13.04,6.0238094,5.857143,6.8333335,6.5238094,6.214286,5.642857
2022,cryptography and security,6,9,0,15,0,0,low,0,6,9,43.53,12.0,9.94,13.6,12.9,12.53,6.5652175,6.347826,7.326087,7.0869565,6.7391305,6.173913
2022,cryptography and security,9,10,0,20,1,0,low,0,7,11,46.78,10.7,8.61,13.2,12.3,13.63,6.8653846,6.730769,7.5,7.3653846,7.0384617,6.4038463
2019,data structures and algorithms,1852,21,0,1732,0,0,high,10,150,29,46.88,10.7,9.55,12.7,12.1,12.76,5.8333335,5.611111,6.638889,6.4444447,6.0555553,5.4166665
2017,data structures and algorithms,1838,40,0,1848,1,0,high,0,50,57,45.05,11.4,8.79,13.7,12.7,12.76,6.5,6.319149,7.2021275,7.117021,6.617021,5.93617
2017,data structures and algorithms,1757,77,0,1094,0,0,high,0,37,160,50.94,9.1,7.13,11.2,10.1,12.4,6.269231,6.1538463,6.8846154,6.8076925,6.230769,5.730769
2020,data structures and algorithms,1699,74,0,3618,3,22,high,144,418,151,46.67,10.7,8.32,12.7,11.8,12.47,5.743243,5.6216216,6.6283784,6.391892,6.0202703,5.3175673
2017,data structures and algorithms,1691,34,0,677,2,0,high,2,58,45,22.85,15.8,13.49,16.4,18.0,16.66,6.571429,6.321429,7.428571,7.142857,6.785714,6.035714
2017,data structures and algorithms,1689,24,0,911,0,0,high,4,83,27,55.24,9.5,8.25,11.9,10.5,11.19,6.785714,6.6190476,7.5,7.285714,6.904762,6.357143
2019,data structures and algorithms,1687,52,0,3018,1,4,high,82,240,64,40.04,11.2,8.02,12.9,12.6,14.49,6.4574466,6.2234044,7.2234044,6.9574466,6.5,5.9680853
2020,data structures and algorithms,1638,52,0,2894,0,0,high,27,226,91,46.27,10.9,9.54,13.2,11.6,12.29,6.230769,6.1153846,7.0384617,6.8076925,6.269231,5.6538463
2020,data structures and algorithms,1602,25,0,3173,0,0,high,52,365,50,37.81,12.1,8.73,13.6,13.2,14.09,6.8333335,6.5520835,7.5,7.28125,6.7916665,6.2708335
2018,data structures and algorithms,1578,31,0,1054,1,0,high,2,11,37,43.93,11.8,10.52,14.1,13.1,12.82,7.0,6.8,7.5,7.5,7.1,6.5
2017,data structures and algorithms,1571,51,0,658,0,0,high,10,66,86,55.54,9.4,8.47,11.8,11.0,11.95,6.15625,6.0,6.8125,6.65625,6.34375,5.75
2018,information retrieval,880,27,0,1083,0,0,high,1,33,44,55.84,9.3,8.35,12.3,11.2,11.95,6.285714,6.107143,6.857143,6.714286,6.357143,5.75
2018,data structures and algorithms,1833,39,0,2709,4,0,high,59,179,90,24.78,15.0,11.26,16.5,16.2,15.66,7.0,6.775,7.6,7.425,6.875,6.55
2018,information retrieval,873,36,0,615,0,0,high,8,95,59,50.33,9.3,7.33,11.3,10.1,11.76,5.6944447,5.5833335,6.388889,6.1666665,5.75,5.2777777
2017,data structures and algorithms,1830,33,0,1136,0,0,high,5,57,43,44.14,11.7,10.26,13.1,13.1,13.23,7.0,6.866667,7.7,7.5,7.1666665,6.5333333
2019,information retrieval,863,23,0,686,0,0,high,6,76,62,47.69,10.4,8.76,12.7,12.2,13.45,6.266667,6.0,6.866667,6.733333,6.3,5.5666666
2017,information retrieval,825,77,0,616,1,28,high,16,67,197,52.7,10.5,9.71,12.8,12.1,12.07,6.9333334,6.733333,7.5,7.366667,6.8333335,6.4666667
2019,data structures and algorithms,1807,23,0,3331,1,0,high,91,215,32,32.94,14.0,10.65,15.3,15.7,14.91,7.419355,7.2580647,8.0161295,7.903226,7.516129,6.903226
2019,information retrieval,798,60,0,1257,0,0,high,4,81,83,46.78,10.7,8.97,12.8,13.2,14.27,5.9473686,5.8421054,6.763158,6.5789475,6.2105265,5.5526314
2017,information retrieval,782,48,0,543,0,0,high,1,35,148,55.13,9.6,8.57,12.1,11.2,11.83,6.225,6.125,6.925,6.725,6.45,5.925
2018,data structures and algorithms,1775,54,0,1261,0,0,high,3,131,81,34.86,13.2,10.61,14.3,14.5,14.5,6.75,6.5833335,7.375,7.1666665,6.75,6.1666665
2022,software engineering,0,1,0,3,0,0,low,0,0,1,38.52,11.8,8.57,13.0,11.9,11.66,5.617647,5.470588,6.3235292,6.117647,5.7058825,5.352941
2019,information retrieval,819,60,0,1733,0,0,high,11,87,83,45.86,11.1,9.35,13.0,12.4,12.93,6.9375,6.78125,7.5625,7.4375,7.09375,6.53125
2022,software engineering,3,4,0,25,0,0,low,1,1,4,50.46,11.4,10.93,13.6,13.5,12.53,6.909091,6.7727275,7.590909,7.4772725,7.1136365,6.431818
2019,data structures and algorithms,1261,26,0,398,0,0,high,11,131,41,47.08,10.6,8.84,13.0,12.8,13.69,6.117647,5.970588,6.7647057,6.5882354,6.2647057,5.6764708
2019,data structures and algorithms,1229,42,0,1495,1,0,high,80,242,47,46.67,10.7,9.26,12.9,12.1,13.11,6.5,6.366667,7.3,7.1,6.6,6.0333333
2018,data structures and algorithms,1219,59,0,609,0,0,high,13,192,111,33.65,13.7,11.48,15.2,15.8,14.91,6.3333335,6.233333,7.233333,7.0,6.4333334,5.866667
2018,data structures and algorithms,1216,46,0,2061,0,64,high,24,125,76,45.35,11.3,9.46,13.9,13.0,13.22,6.7291665,6.5208335,7.3958335,7.2291665,6.75,6.0833335
2017,data structures and algorithms,1211,61,0,398,0,22,high,0,48,79,56.25,9.1,7.88,12.0,10.5,10.78,5.3733335,5.28,6.113333,5.88,5.6066666,4.9866667
2021,data structures and algorithms,1210,72,0,1349,1,0,high,44,293,171,50.73,9.2,6.61,11.4,10.7,12.69,6.1022725,5.8522725,6.8295455,6.556818,6.1136365,5.556818
2019,data structures and algorithms,1202,54,0,923,0,0,high,1,115,81,39.43,11.5,8.97,13.1,13.2,14.9,5.5588236,5.5882354,6.4117646,6.1764708,5.852941,5.2647057
2020,data structures and algorithms,1186,17,0,1623,1,0,high,21,156,25,46.98,10.6,9.72,13.0,13.1,14.5,5.6666665,5.638889,6.6666665,6.3333335,5.9444447,5.361111
2021,data structures and algorithms,1172,32,0,4396,3,1379,high,174,253,49,28.27,15.8,12.33,16.5,17.5,14.51,7.6,7.44,8.34,8.245,7.71,7.205
2019,data structures and algorithms,1529,17,0,1457,0,0,high,19,194,23,42.92,12.2,10.02,14.0,12.9,11.89,6.4130435,6.2608695,7.0652175,6.978261,6.5434785,5.9347825
2019,data structures and algorithms,1499,12,0,1446,0,0,high,15,150,16,49.41,9.7,7.84,12.0,10.4,11.94,5.952381,5.8809524,6.785714,6.547619,6.2619047,5.642857
2019,data structures and algorithms,1306,17,0,1419,0,0,high,2,136,28,48.2,10.2,8.83,12.5,11.8,13.22,5.6842103,5.7105265,6.5789475,6.3421054,5.9473686,5.3421054
2017,data structures and algorithms,1301,82,0,1041,0,0,high,7,55,149,45.66,11.1,10.36,12.9,11.8,12.18,6.9166665,6.875,7.7083335,7.4583335,7.0416665,6.4583335
2021,data structures and algorithms,1481,23,0,649,0,0,high,5,276,41,48.4,10.1,8.28,12.1,11.8,12.46,5.892857,5.75,6.607143,6.428571,6.142857,5.5
2019,data structures and algorithms,1448,31,0,1109,4,0,high,48,158,52,39.94,11.3,8.63,12.8,12.6,14.55,6.275,6.1,7.025,6.85,6.425,6.05
2021,data structures and algorithms,1416,31,0,2384,30,1,high,34,429,69,45.32,9.2,8.99,11.1,12.6,15.63,4.1666665,4.1666665,5.3333335,4.8333335,4.5,4.1666665
2018,data structures and algorithms,1353,37,0,2104,1,0,high,28,131,59,45.15,11.3,8.92,13.7,12.3,12.29,6.216216,6.0405407,6.9054055,6.756757,6.3378377,5.581081
2018,data structures and algorithms,1346,53,0,2388,7,0,high,1,50,94,42.11,12.5,11.91,14.7,14.8,14.21,6.6666665,6.5333333,7.5333333,7.3333335,6.866667,6.266667
2019,data structures and algorithms,1331,21,0,2418,4,9,high,4,140,47,35.78,12.9,9.51,14.3,13.7,14.04,7.2327585,6.974138,7.8534484,7.698276,7.1810346,6.62069
2019,data structures and algorithms,1309,74,142,1019,0,0,high,9,113,121,44.75,11.5,10.07,14.2,13.6,13.74,6.0,5.8333335,6.8809524,6.595238,6.214286,5.547619
2017,data structures and algorithms,1434,66,0,1157,5,0,high,3,35,105,50.16,11.5,10.71,13.3,12.8,11.31,6.625,6.4791665,7.3333335,7.2916665,6.9375,6.1666665
2020,data structures and algorithms,1418,48,0,469,1,0,high,32,189,110,53.1,10.3,9.19,13.2,12.3,11.37,6.364865,6.2297297,7.027027,6.8378377,6.418919,6.0
2018,data structures and algorithms,1278,31,0,981,0,0,high,6,103,41,46.98,10.6,9.45,13.0,11.9,12.64,6.1538463,5.8846154,6.9615383,6.769231,6.3076925,5.769231
2020,data structures and algorithms,1009,39,0,322,1,0,high,57,126,46,36.69,12.5,9.53,14.6,14.7,15.48,6.894737,6.736842,7.5263157,7.4736843,7.0526314,6.4473686
2019,data structures and algorithms,1007,41,0,1822,0,0,high,4,130,72,45.46,11.2,9.57,13.5,12.3,12.47,6.3166666,6.0833335,7.016667,6.8333335,6.5,5.85
2019,data structures and algorithms,1004,45,0,2546,10,28,high,10,92,45,27.72,13.9,11.3,15.4,15.1,15.77,6.7272725,6.5227275,7.431818,7.25,6.818182,6.068182
2020,data structures and algorithms,1002,55,0,560,0,0,high,12,123,114,48.6,10.0,8.88,12.6,11.7,13.33,6.125,5.875,6.875,6.625,6.25,5.71875
2018,data structures and algorithms,996,25,0,619,0,0,high,5,58,38,46.06,11.0,9.28,12.8,12.0,12.47,6.4130435,6.326087,7.2608695,7.0434785,6.7173915,6.0434785
2018,data structures and algorithms,982,32,0,344,2,0,high,19,52,38,52.29,10.7,9.77,13.4,11.8,11.37,6.410714,6.285714,7.160714,6.982143,6.607143,5.928571
2017,data structures and algorithms,1155,31,0,1831,0,0,high,2,79,35,43.22,12.1,10.67,14.3,14.0,13.63,6.8333335,6.5833335,7.375,7.2916665,6.7916665,6.2916665
2018,data structures and algorithms,1043,22,0,1493,67,22,high,33,129,35,37.71,12.1,10.22,13.3,13.8,14.21,6.0,5.909091,6.818182,6.6363635,6.1363635,5.681818
2017,data structures and algorithms,1030,46,0,1664,0,0,high,0,38,71,31.51,14.5,12.23,16.2,17.0,15.26,6.140625,6.09375,7.09375,6.8125,6.40625,5.78125
2017,data structures and algorithms,1150,41,0,1659,0,36,high,9,23,53,27.11,14.1,10.01,15.2,14.7,15.14,6.5,6.34375,7.03125,6.90625,6.625,6.21875
